tos1a
openloop
10
50
2016-03-22 21:12:54
"c_fan","c_led","c_lamp","t_sim","s_rate"
20,0,50,10,50
"temp_chip","f_temp_int","d_temp_int","f_temp_ext","d_temp_ext","f_light_int_lin","d_light_int_lin","f_light_int_log","d_light_int_log","I_bulb","V_bulb","I_fan","V_fan","f_rpm","d_rmp"
===
28.44,29.56,0.0000,28.01,0.0000,0.00,0.0000,7.13,0.0000,0.01,0.00,0.00,0.0000,0.00,0.0765
28.44,29.57,2.0921,28.00,0.7964,24.74,2.5300,56.28,423.3906,0.49,5.79,0.08,7.6513,581.81,7060.1683
28.44,29.65,1.6857,28.02,1.4299,24.89,2.2460,71.49,117.5034,0.49,5.79,0.06,6.1487,1115.46,7269.2340
28.38,29.68,1.4070,28.02,-0.7437,24.97,0.5512,75.65,32.7163,0.50,5.80,0.05,5.3634,1524.03,6521.9549
28.38,29.71,0.5853,28.02,-0.0720,25.01,0.4232,76.84,9.7184,0.49,5.79,0.05,4.9092,1838.22,5308.2305
28.38,29.73,-0.3310,28.01,-0.6413,25.04,0.0950,77.18,2.8473,0.49,5.80,0.05,4.6593,2082.92,2847.5666
28.38,29.75,-1.2850,28.00,-1.9529,25.05,0.1578,77.27,0.3932,0.50,5.80,0.05,4.4982,2271.84,2416.5952
28.38,29.77,-0.1939,27.99,-0.6307,25.06,-0.3626,77.30,-0.0818,0.49,5.80,0.04,4.4147,2406.68,1927.7375
28.38,29.78,-0.1881,27.98,-1.0152,25.07,0.1125,77.31,-0.2696,0.49,5.80,0.04,4.3619,2504.69,1840.1533
28.38,29.80,0.2498,27.97,-0.7202,25.07,0.1134,77.30,-11.0483,0.49,5.80,0.04,4.3282,2590.08,981.5164
28.38,29.82,1.3909,27.97,1.7837,25.08,0.3870,77.31,0.3960,0.50,5.80,0.04,4.3033,2663.01,885.6189
28.38,29.83,-0.9869,27.96,-1.4513,25.08,-0.3776,77.32,0.2259,0.50,5.80,0.03,4.3048,2722.44,872.9193
28.44,29.85,0.4007,27.95,-1.3549,25.09,-0.0011,77.32,-0.3824,0.49,5.80,0.04,4.2916,2771.46,894.7985
28.44,29.86,1.7647,27.94,0.6530,25.09,0.3095,77.32,0.2814,0.49,5.79,0.04,4.2842,2813.68,470.2719
28.44,29.87,0.9645,27.92,1.0275,25.09,0.2195,77.32,0.1796,0.49,5.80,0.04,4.2777,2858.34,518.1209
28.38,29.88,0.2855,27.92,0.2120,25.10,-0.0412,77.32,-0.3668,0.49,5.80,0.05,4.2711,2898.44,552.7474
28.38,29.89,1.2022,27.91,-0.4655,25.10,-0.2051,77.32,-0.1277,0.49,5.80,0.04,4.2769,2934.52,589.2298
28.38,29.91,-0.7661,27.89,-1.2770,25.10,-0.1100,77.31,-0.3127,0.49,5.80,0.03,4.2769,2964.74,649.8022
28.38,29.92,0.8633,27.89,0.9732,25.10,-0.3157,77.31,0.4216,0.49,5.80,0.03,4.2791,2995.06,344.8137
28.38,29.93,0.6306,27.89,1.2608,25.11,0.0134,77.31,0.5689,0.49,5.80,0.03,4.2806,3025.09,396.9734
28.38,29.95,0.9694,27.88,0.6657,25.11,0.1264,77.32,-0.6192,0.50,5.79,0.03,4.2813,3050.55,409.5990
28.38,29.96,0.5893,27.88,0.1588,25.11,-0.2028,77.32,0.1271,0.50,5.80,0.04,4.2799,3075.03,573.0669
28.38,29.96,-0.9502,27.87,-1.0939,25.12,-0.2288,77.32,-0.4437,0.50,5.80,0.04,4.2762,3102.10,300.9149
28.38,29.97,-0.6883,27.86,0.0577,25.12,-0.1621,77.32,-0.3005,0.50,5.80,0.03,4.2777,3124.60,266.0870
28.38,29.98,0.6055,27.85,-0.1467,25.12,0.3286,77.32,0.7734,0.49,5.80,0.04,4.2733,3145.22,288.2794
28.38,29.99,0.3614,27.84,-0.3151,25.12,1.6982,77.32,-0.6352,0.49,5.80,0.05,4.2652,3164.09,352.6800
28.38,30.00,1.6456,27.83,1.3296,25.12,0.1921,77.32,-0.3952,0.49,5.80,0.03,4.2777,3181.22,361.0059
28.38,30.00,-0.7722,27.82,-2.2785,25.12,-0.2249,77.32,-0.2362,0.49,5.80,0.03,4.2762,3198.17,190.5013
28.38,30.02,0.2419,27.80,-0.9385,25.13,0.4789,77.32,0.5521,0.49,5.80,0.04,4.2755,3215.01,229.1452
28.38,30.02,0.2706,27.79,-1.2760,25.13,0.3756,77.32,0.2508,0.50,5.80,0.04,4.2733,3229.89,246.6362
28.44,30.03,0.4317,27.78,-1.0974,25.13,-0.1869,77.32,-0.7102,0.48,5.79,0.04,4.2703,3242.75,294.6628
