tos1a
openloop
20
50
2016-03-30 06:29:34
"c_fan","c_led","c_lamp","t_sim","s_rate"
30,50,0,20,50
"temp_chip","f_temp_int","d_temp_int","f_temp_ext","d_temp_ext","f_light_int_lin","d_light_int_lin","f_light_int_log","d_light_int_log","I_bulb","V_bulb","I_fan","V_fan","f_rpm","d_rmp"
===
25.00,24.91,0.0000,24.81,0.0000,0.00,0.0000,0.06,0.0000,0.11,0.00,0.00,0.0000,0.01,22.6525
25.00,24.80,2.1481,24.61,3.2753,0.00,0.0000,0.11,-1.0723,0.11,0.00,0.09,8.0835,585.34,7158.2373
25.00,24.87,0.2292,24.71,-0.4785,0.00,0.0000,0.08,0.1896,0.11,0.00,0.08,6.7919,1111.71,7470.8867
25.06,24.89,0.6279,24.74,1.1642,0.00,0.0000,0.07,-0.1121,0.11,0.00,0.07,6.0659,1543.68,6749.1920
25.06,24.89,0.2172,24.75,0.6990,0.00,0.0000,0.07,0.0359,0.12,0.00,0.05,5.7018,1864.36,5983.9392
25.06,24.90,0.3035,24.76,0.9409,0.00,0.0000,0.07,-0.3368,0.11,0.00,0.05,5.4835,2141.55,3200.2624
25.00,24.89,-0.1337,24.75,-0.7306,0.00,0.0000,0.06,0.4713,0.11,0.00,0.06,5.3524,2355.26,2947.5157
25.00,24.89,0.9657,24.75,0.8431,0.00,0.0000,0.06,0.1699,0.11,0.00,0.05,5.2733,2524.98,2699.9660
25.00,24.89,-0.2591,24.75,0.0888,0.00,0.0000,0.06,-0.2989,0.11,0.00,0.05,5.2410,2659.90,2571.3265
25.06,24.89,0.1535,24.75,-0.1535,0.00,0.0000,0.06,0.2866,0.12,0.00,0.05,5.2132,2781.57,1348.4490
25.06,24.89,-0.3903,24.75,0.5784,0.00,0.0000,0.07,-0.1792,0.11,0.00,0.06,5.2220,2885.33,1404.2904
25.06,24.89,0.1917,24.75,0.8123,0.00,0.0000,0.07,0.0239,0.11,0.00,0.05,5.1934,2975.17,1485.1596
25.06,24.88,-0.2302,24.74,0.4219,0.00,0.0000,0.07,-0.2672,0.11,0.00,0.05,5.2095,3053.19,1610.4343
25.06,24.88,0.0188,24.74,0.5246,0.00,0.0000,0.07,-0.3410,0.11,0.00,0.04,5.1905,3127.41,864.6388
25.06,24.88,0.2678,24.75,0.9318,0.00,0.0000,0.07,-0.2318,0.11,0.00,0.05,5.1700,3200.28,916.6120
25.06,24.88,-0.3784,24.75,-0.5816,0.00,0.0000,0.06,0.6969,0.11,0.00,0.05,5.1773,3265.54,1006.6781
