tos1a
openloop
10
200
2016-03-30 06:23:49
"c_fan","c_lamp","c_led","t_sim","s_rate"
"20","60","0","10","200"
"temp_chip","f_temp_int","d_temp_int","f_temp_ext","d_temp_ext","f_light_int_lin","d_light_int_lin","f_light_int_log","d_light_int_log","I_bulb","V_bulb","I_fan","V_fan","f_rpm","d_rmp"
===
24.44,24.87,0.0000,24.49,0.0000,0.00,0.0000,0.04,0.0000,-0.00,0.00,0.00,0.0000,0.00,0.0000
24.44,24.86,-0.0635,24.51,-0.0875,0.00,0.0000,0.02,0.0877,-0.07,0.31,0.04,3.3729,1041.70,1484.6982
24.44,24.85,-0.2019,24.51,-0.0905,0.00,0.0000,0.03,0.1401,-0.08,0.33,0.04,3.3839,1455.52,722.1859
24.44,24.84,-0.3808,24.50,-0.0142,0.00,0.0000,0.03,0.0548,-0.07,0.35,0.04,3.3766,1682.89,850.2540
24.44,24.82,-0.0490,24.50,-0.2868,0.00,0.0000,0.03,-0.2035,-0.08,0.36,0.03,3.3927,1867.60,818.4194
24.44,24.80,-0.1973,24.49,0.0597,0.00,0.0000,0.03,0.0693,-0.09,0.37,0.03,3.3883,2000.89,411.4576
24.44,24.79,-0.4041,24.49,-0.4753,0.00,0.0000,0.03,-0.0256,-0.08,0.38,0.03,3.3978,2119.22,543.2402
24.50,24.77,0.4395,24.49,0.1785,0.00,0.0000,0.03,0.1681,-0.08,0.39,0.03,3.4095,2216.68,571.4360
24.50,24.75,0.3139,24.48,0.1926,0.00,0.0000,0.03,-0.1655,-0.09,0.40,0.03,3.4051,2295.69,235.4052
24.44,24.74,-0.1297,24.48,-0.3817,0.00,0.0000,0.03,0.0751,-0.09,0.42,0.03,3.3832,2357.84,255.3732
24.44,24.72,0.2188,24.47,0.3701,0.00,0.0000,0.03,-0.0088,-0.09,0.42,0.03,3.3853,2399.68,115.4193
24.44,24.71,-0.0980,24.47,0.7279,0.00,0.0000,0.03,-0.0678,-0.09,0.42,0.03,3.4154,2445.31,184.6591
24.44,24.69,0.0972,24.47,-0.0583,0.00,0.0000,0.03,-0.0311,-0.09,0.43,0.03,3.3773,2476.26,97.8851
24.50,24.68,0.1517,24.46,0.4956,0.00,0.0000,0.03,-0.0653,-0.09,0.44,0.03,3.3590,2500.00,48.8181
24.44,24.66,-0.2085,24.46,0.0054,0.00,0.0000,0.03,0.0581,-0.11,0.44,0.03,3.3736,2522.14,151.4739
24.44,24.64,-0.0527,24.45,-0.4120,0.00,0.0000,0.03,0.1371,-0.10,0.44,0.03,3.3443,2539.94,89.5562
24.44,24.63,0.0921,24.45,-0.0002,0.00,0.0000,0.03,-0.0933,-0.10,0.44,0.03,3.3685,2549.90,-8.3959
24.50,24.61,-0.1678,24.45,-0.3422,0.00,0.0000,0.03,-0.0413,-0.10,0.45,0.03,3.4044,2559.88,142.8867
24.50,24.60,-0.1509,24.44,-0.3973,0.00,0.0000,0.03,0.1677,-0.10,0.45,0.03,3.4176,2571.85,-32.7983
24.50,24.59,0.2687,24.44,0.1515,0.00,0.0000,0.03,-0.0589,-0.10,0.45,0.03,3.3890,2575.78,-14.4003
24.44,24.57,0.0480,24.43,-0.0874,0.00,0.0000,0.03,0.0546,-0.11,0.45,0.03,3.4081,2584.51,73.8842
24.44,24.56,-0.0345,24.43,-0.2066,0.00,0.0000,0.03,-0.1871,-0.10,0.45,0.03,3.4344,2586.66,-46.7374
24.50,24.55,-0.2011,24.43,-0.1898,0.00,0.0000,0.03,-0.2512,-0.11,0.46,0.03,3.3656,2588.59,87.3138
24.50,24.54,-0.1908,24.42,-0.1347,0.00,0.0000,0.03,0.0787,-0.11,0.46,0.03,3.3868,2596.15,45.2195
24.50,24.53,-0.1361,24.42,0.0489,0.00,0.0000,0.03,-0.1753,-0.11,0.46,0.03,3.3619,2595.44,-57.9037
24.50,24.52,-0.0776,24.42,-0.4076,0.00,0.0000,0.03,-0.0827,-0.11,0.46,0.03,3.3575,2597.10,59.9948
24.44,24.51,-0.3750,24.42,0.0920,0.00,0.0000,0.03,-0.2113,-0.12,0.47,0.03,3.4154,2601.71,47.4262
24.44,24.50,0.3097,24.42,0.1401,0.00,0.0000,0.03,-0.2791,-0.11,0.47,0.03,3.4066,2599.42,-43.8612
24.50,24.49,-0.0727,24.41,0.2618,0.00,0.0000,0.03,0.2833,-0.12,0.47,0.03,3.3560,2600.15,80.9368
24.44,24.48,-0.3097,24.40,-0.2679,0.00,0.0000,0.04,-0.0208,-0.11,0.47,0.03,3.3912,2603.81,46.1501
24.50,24.47,-0.0389,24.40,-0.1368,0.00,0.0000,0.03,0.2973,-0.12,0.47,0.03,3.3839,2602.08,-72.7534
24.50,24.46,-0.0808,24.40,-0.3483,0.00,0.0000,0.03,-0.2619,-0.13,0.48,0.03,3.3634,2602.05,74.9449
24.44,24.45,-0.1639,24.40,-0.0569,0.00,0.0000,0.03,-0.1950,-0.11,0.47,0.03,3.3927,2605.97,-62.8106
24.50,24.45,0.1731,24.40,-0.0828,0.00,0.0000,0.04,0.0210,-0.12,0.47,0.03,3.3685,2603.46,-35.6459
24.44,24.44,0.0740,24.40,0.0800,0.00,0.0000,0.04,0.3270,-0.14,0.47,0.03,3.3773,2606.00,45.6365
24.44,24.44,-0.2843,24.40,0.0234,0.00,0.0000,0.03,0.1084,-0.12,0.47,0.03,3.3883,2605.59,-60.3287
24.44,24.43,0.0041,24.39,-0.0058,0.00,0.0000,0.03,0.0050,-0.12,0.48,0.03,3.4139,2605.98,64.4719
