tos1a
openloop
20
50
2016-04-05 16:57:04
"c_fan","c_led","c_lamp","t_sim","s_rate"
30,50,0,20,50
"temp_chip","f_temp_int","d_temp_int","f_temp_ext","d_temp_ext","f_light_int_lin","d_light_int_lin","f_light_int_log","d_light_int_log","I_bulb","V_bulb","I_fan","V_fan","f_rpm","d_rmp"
===
27.81,29.01,0.0000,27.63,0.0000,0.00,0.0000,2.25,0.0000,0.01,0.00,0.00,0.0000,0.00,0.0000
27.81,29.01,-0.0850,27.73,-0.9381,0.00,0.0000,2.27,0.6531,0.02,0.00,0.09,7.9656,606.14,6901.4966
27.81,29.00,0.0068,27.68,0.5155,0.00,0.0000,2.26,-0.8187,0.02,0.00,0.07,6.6872,1158.85,6937.4126
27.88,28.99,-0.3954,27.66,-0.6633,0.00,0.0000,2.26,0.0974,0.02,0.00,0.06,6.0293,1590.81,6210.2201
27.88,28.98,0.7212,27.65,0.6367,0.00,0.0000,2.25,-0.6964,0.01,0.00,0.06,5.6689,1905.32,5505.7062
27.88,28.97,-0.4959,27.64,-0.7337,0.00,0.0000,2.25,1.3487,0.01,0.00,0.05,5.4637,2167.59,2871.8847
27.88,28.95,-0.6216,27.63,-0.0609,0.00,0.0000,2.25,-1.4285,0.01,0.00,0.05,5.3429,2388.80,2544.7848
27.88,28.94,-0.3921,27.63,0.1669,0.00,0.0000,2.25,0.8823,0.01,0.00,0.06,5.2674,2559.28,2297.9194
27.88,28.93,0.1665,27.62,0.5092,0.00,0.0000,2.25,-1.1254,0.01,0.00,0.05,5.2352,2695.12,2150.5678
27.81,28.91,0.5469,27.61,-0.1472,0.00,0.0000,2.26,1.5056,0.02,0.00,0.05,5.2044,2801.55,2195.5370
27.81,28.90,-0.5261,27.60,-1.5175,0.00,0.0000,2.25,-0.8390,0.02,0.00,0.04,5.2022,2907.10,1134.7319
27.81,28.89,-0.5501,27.60,-0.7277,0.00,0.0000,2.26,0.9053,0.02,0.00,0.04,5.1978,3002.62,1159.3192
27.88,28.87,-0.8115,27.59,-1.3253,0.00,0.0000,2.25,0.1469,0.02,0.00,0.04,5.1912,3084.97,1239.1142
27.88,28.86,0.6895,27.58,0.6989,0.00,0.0000,2.26,0.6930,0.02,0.00,0.04,5.1766,3157.07,1315.7162
27.88,28.85,-0.4191,27.58,-0.3271,0.00,0.0000,2.25,0.3535,0.02,0.00,0.05,5.1744,3223.13,1403.4723
27.81,28.83,-0.3898,27.57,-0.6052,0.00,0.0000,2.26,-0.4069,0.01,0.00,0.04,5.1817,3290.33,728.0565
27.81,28.82,0.1795,27.57,-0.3254,0.00,0.0000,2.25,1.1176,0.01,0.00,0.05,5.1788,3349.40,723.7228
27.81,28.80,-0.4695,27.56,-0.0388,0.00,0.0000,2.26,-0.9673,0.02,0.00,0.04,5.1824,3406.63,881.7701
27.75,28.79,-0.4339,27.56,-1.6967,0.00,0.0000,2.25,1.3516,0.02,0.00,0.05,5.1758,3457.39,876.4777
27.75,28.77,-0.6377,27.54,-0.2810,0.00,0.0000,2.25,-1.3084,0.01,0.00,0.04,5.1817,3500.77,954.1169
27.75,28.75,-0.3736,27.54,-0.2490,0.00,0.0000,2.25,1.0159,0.01,0.00,0.04,5.1861,3545.96,499.7595
27.69,28.74,-0.3421,27.53,0.0879,0.00,0.0000,2.25,-1.1277,0.01,0.00,0.06,5.1626,3587.78,553.2575
27.69,28.72,-1.0279,27.53,-1.4486,0.00,0.0000,2.25,1.3525,0.01,0.00,0.04,5.1883,3626.85,590.9295
27.69,28.70,-0.9819,27.52,-0.1703,0.00,0.0000,2.24,-1.3764,0.02,0.00,0.04,5.1846,3661.19,616.1702
27.81,28.69,-0.0677,27.52,0.6044,0.00,0.0000,2.24,0.6577,0.01,0.00,0.05,5.1326,3690.85,318.2106
27.81,28.67,-1.4625,27.52,-2.0244,0.00,0.0000,2.24,-0.0620,0.02,0.00,0.04,5.1824,3723.30,348.3537
27.81,28.65,-0.9750,27.50,-1.4323,0.00,0.0000,2.23,1.1345,0.01,0.00,0.06,5.1648,3749.84,352.8755
27.88,28.64,0.8426,27.50,1.6999,0.00,0.0000,2.24,-0.8021,0.02,0.00,0.05,5.1641,3776.59,508.9565
27.88,28.63,-0.6301,27.50,-0.2270,0.00,0.0000,2.23,-0.1195,0.01,0.00,0.04,5.1868,3802.42,445.9905
27.88,28.60,-0.4310,27.48,-1.2834,0.00,0.0000,2.24,0.8015,0.01,0.00,0.05,5.1832,3823.59,233.4063
27.81,28.59,0.3623,27.48,0.9240,0.00,0.0000,2.23,-0.6673,0.01,0.00,0.05,5.1736,3844.78,254.6130
