tos1a
openloop
10
50
2016-03-20 19:29:18
"c_fan","c_led","c_lamp","t_sim","s_rate"
20,0,50,10,50
"temp_chip","f_temp_int","d_temp_int","f_temp_ext","d_temp_ext","f_light_int_lin","d_light_int_lin","f_light_int_log","d_light_int_log","I_bulb","V_bulb","I_fan","V_fan","f_rpm","d_rmp"
===
26.56,28.38,0.0000,26.86,0.0000,0.00,0.0000,2.98,0.0000,0.11,0.00,0.00,0.0000,0.00,0.0000
26.56,28.40,0.1042,26.76,0.0369,24.26,0.8894,22.43,277.5383,0.60,5.78,0.08,7.6454,337.25,4808.5833
26.56,28.43,0.5089,26.78,0.7268,24.33,1.2479,37.74,201.0000,0.60,5.78,0.06,6.1407,713.96,5678.1392
26.56,28.46,0.1995,26.79,-0.0823,24.40,1.0566,48.60,146.7464,0.60,5.78,0.05,5.3473,1060.80,5601.0630
26.56,28.48,0.5269,26.80,0.3116,24.47,0.8201,56.58,106.6880,0.59,5.78,0.05,4.9070,1372.53,5026.0250
26.56,28.51,0.4723,26.80,0.3328,24.52,0.6665,62.36,77.9110,0.59,5.79,0.04,4.6440,1644.49,3663.4342
26.56,28.53,0.3330,26.80,-0.0317,24.56,0.5884,66.59,56.6976,0.60,5.79,0.04,4.4989,1872.74,3163.0344
26.56,28.55,0.6056,26.80,0.0070,24.59,0.3821,69.65,41.1464,0.60,5.79,0.05,4.4044,2060.48,2769.9573
26.56,28.57,0.6003,26.79,0.0365,24.61,0.2859,71.89,29.6480,0.60,5.79,0.04,4.3582,2215.67,2347.2113
26.50,28.58,0.2610,26.79,0.2111,24.63,0.2347,73.53,21.7816,0.60,5.79,0.05,4.3209,2343.59,1705.9720
26.50,28.60,-0.1657,26.78,-0.2564,24.65,0.1651,74.66,16.0742,0.59,5.79,0.04,4.3092,2447.33,1488.2786
26.50,28.62,0.0248,26.78,-0.2764,24.66,0.0844,75.53,11.6443,0.59,5.79,0.04,4.2945,2537.74,1358.8342
26.56,28.64,0.2825,26.77,-0.1549,24.67,0.1352,76.16,8.4587,0.60,5.79,0.04,4.2864,2613.18,1249.2667
26.56,28.65,-0.0440,26.77,-0.1278,24.67,0.1448,76.61,6.2799,0.59,5.79,0.04,4.2850,2679.37,917.6626
26.56,28.67,0.2743,26.76,-0.3330,24.68,0.0417,76.95,4.5440,0.59,5.79,0.03,4.2850,2739.03,850.1624
26.50,28.68,0.3007,26.75,0.0809,24.68,0.1166,77.20,3.4847,0.59,5.79,0.05,4.2777,2791.89,802.7797
26.50,28.69,0.5406,26.74,0.1797,24.69,0.0932,77.38,2.6037,0.60,5.79,0.04,4.2806,2837.66,759.2739
26.50,28.71,0.0451,26.73,-0.4272,24.69,-0.0748,77.51,1.6209,0.59,5.79,0.05,4.2586,2878.49,554.7646
26.50,28.72,0.2357,26.72,-0.0994,24.70,0.0352,77.61,1.3587,0.59,5.79,0.03,4.2813,2918.83,568.5711
26.50,28.73,-0.0385,26.72,-0.3039,24.70,0.1376,77.68,1.1021,0.59,5.79,0.03,4.2799,2953.50,525.8548
26.50,28.74,0.2496,26.70,-0.2461,24.70,0.0508,77.73,0.5873,0.58,5.79,0.03,4.2828,2984.69,523.5536
26.50,28.75,0.2754,26.69,-0.1615,24.71,0.0614,77.77,0.3699,0.60,5.79,0.05,4.2652,3013.42,379.5152
26.50,28.76,0.1046,26.68,-0.4489,24.71,-0.0305,77.80,0.1825,0.60,5.79,0.05,4.2755,3039.50,358.7711
26.50,28.77,-0.0109,26.68,0.1395,24.71,0.0530,77.82,0.4177,0.60,5.79,0.04,4.2769,3066.09,411.2177
26.50,28.78,-0.0013,26.67,-0.3332,24.71,0.0915,77.84,0.2939,0.60,5.79,0.04,4.2777,3090.38,364.6124
26.50,28.79,-0.0756,26.66,-0.5576,24.72,-0.0472,77.85,0.0466,0.60,5.79,0.04,4.2703,3111.24,371.3747
26.50,28.80,0.3099,26.65,0.1532,24.72,0.0623,77.85,0.3569,0.59,5.79,0.03,4.2828,3130.91,272.7007
26.56,28.81,-0.1050,26.64,-0.2896,24.72,0.1193,77.86,0.1839,0.59,5.79,0.03,4.2777,3149.49,277.9613
26.56,28.82,0.1217,26.63,-0.3396,24.73,-0.0212,77.86,0.0559,0.60,5.79,0.05,4.2652,3166.70,274.1664
26.56,28.83,-0.1140,26.62,-0.5156,24.73,-0.0324,77.87,0.1568,0.60,5.79,0.03,4.2755,3182.15,291.0961
26.50,28.84,0.2948,26.61,-0.0416,24.73,0.0787,77.87,0.0220,0.60,5.79,0.03,4.2813,3198.02,211.5387
