tos1a
openloop


2016-03-25 13:11:33
"c_fan","c_led","c_lamp","t_sim","s_rate"
60,0,50,10,50
"temp_chip","f_temp_int","d_temp_int","f_temp_ext","d_temp_ext","f_light_int_lin","d_light_int_lin","f_light_int_log","d_light_int_log","I_bulb","V_bulb","I_fan","V_fan","f_rpm","d_rmp"
===
26.00,27.59,0.0000,26.15,0.0000,0.00,0.0000,0.36,0.0000,0.12,0.00,0.00,0.0000,0.00,0.2219
26.00,27.68,-1.0984,26.18,-2.7495,24.03,2.2909,54.98,468.5275,0.61,5.77,0.10,9.2982,587.07,7121.7484
26.00,27.70,1.9684,26.14,0.6200,24.16,1.9012,71.80,129.0704,0.61,5.78,0.10,8.6103,1133.31,7363.3766
26.00,27.72,1.5542,26.14,1.2485,24.23,1.2435,76.42,36.7014,0.60,5.78,0.09,8.2733,1588.77,7554.0639
26.00,27.75,0.0140,26.12,-0.1608,24.27,0.4215,77.71,10.4623,0.61,5.78,0.08,8.0857,1967.67,7480.2938
26.00,27.77,0.2013,26.11,0.4359,24.29,0.7550,78.09,3.0940,0.60,5.78,0.10,7.9656,2349.91,3637.4452
26.00,27.78,0.2084,26.09,0.2182,24.30,0.0372,78.18,1.1845,0.60,5.78,0.08,7.9451,2668.02,3851.0301
26.00,27.80,-0.4722,26.08,-0.4636,24.31,0.2161,78.21,-0.4471,0.60,5.78,0.07,7.9121,2939.25,3920.4677
26.00,27.82,0.7127,26.07,0.1664,24.32,0.2539,78.21,0.6531,0.61,5.77,0.07,7.9011,3208.43,3830.6462
26.00,27.84,-0.6067,26.06,-0.2397,24.33,0.1294,78.22,0.2866,0.60,5.78,0.08,7.8864,3416.05,4020.8927
26.00,27.85,1.4048,26.05,0.0697,24.33,0.6903,78.22,-0.0001,0.61,5.78,0.07,7.8842,3604.89,2121.1351
26.00,27.86,0.0196,26.04,-0.4516,24.34,-0.1153,78.22,0.4330,0.60,5.78,0.08,7.8821,3800.73,2360.4333
26.00,27.87,1.3737,26.02,0.0595,24.34,0.1289,78.22,-0.4519,0.60,5.78,0.08,7.8806,3984.34,2335.2400
