tos1a
openloop


2016-03-25 18:40:43
"c_fan","c_led","c_lamp","t_sim","s_rate"
20,0,50,30,50
"temp_chip","f_temp_int","d_temp_int","f_temp_ext","d_temp_ext","f_light_int_lin","d_light_int_lin","f_light_int_log","d_light_int_log","I_bulb","V_bulb","I_fan","V_fan","f_rpm","d_rmp"
===
28.81,32.38,0.3660,26.53,0.2440,0.00,0.0000,9.01,4.3956,0.01,0.00,0.00,0.0000,0.08,90.4021
28.81,32.46,-0.0608,26.58,-1.1023,24.75,2.4168,57.48,387.7130,0.49,5.78,0.08,7.6234,603.04,6928.0137
28.81,32.47,0.1635,26.57,-0.8589,24.90,1.9879,71.63,102.7369,0.47,5.78,0.06,6.0850,1144.95,7006.4764
28.81,32.49,-0.2452,26.58,-0.8620,25.00,0.2742,75.36,27.4333,0.49,5.79,0.05,5.2967,1567.93,6085.3796
28.81,32.50,0.6606,26.57,-0.4228,25.04,0.5012,76.35,8.0168,0.48,5.78,0.05,4.8667,1873.00,5016.4162
28.81,32.51,-0.2682,26.57,-0.3559,25.06,0.5010,76.63,2.8704,0.49,5.78,0.04,4.6293,2105.77,2677.6600
28.81,32.54,0.9487,26.56,-0.2178,25.08,-0.3298,76.71,1.3272,0.49,5.79,0.04,4.4864,2286.02,2185.5856
28.81,32.56,0.3155,26.56,0.0481,25.09,0.5092,76.73,0.9867,0.49,5.79,0.04,4.4044,2424.51,1923.5603
28.81,32.57,-1.0321,26.55,-1.2765,25.09,0.4770,76.74,0.2509,0.49,5.79,0.04,4.3538,2526.17,1666.8183
28.81,32.59,0.2060,26.55,0.3753,25.10,-0.4281,76.75,0.1370,0.50,5.79,0.04,4.3143,2604.45,880.3521
28.81,32.60,-0.7568,26.55,-0.8960,25.10,0.0302,76.74,0.5940,0.49,5.79,0.05,4.2945,2675.27,808.7989
28.81,32.63,0.2845,26.54,0.9377,25.11,0.8152,76.74,0.7436,0.48,5.78,0.04,4.2923,2743.30,816.1242
28.81,32.66,0.6889,26.54,1.1869,25.11,0.7609,76.75,0.4404,0.48,5.79,0.04,4.3099,2835.82,981.5026
28.81,32.67,1.0235,26.54,0.9303,25.12,-0.3389,76.74,0.9386,0.49,5.79,0.03,4.2806,2881.31,523.6941
28.81,32.69,-0.9019,26.53,-1.2385,25.12,-0.1267,76.74,0.5675,0.49,5.79,0.04,4.2769,2923.48,543.8069
28.81,32.71,0.2424,26.52,-0.9107,25.12,0.3336,76.75,-0.4675,0.48,5.80,0.05,4.2623,2961.79,667.8944
28.81,32.72,1.2230,26.52,0.5879,25.12,0.0204,76.75,-0.1684,0.49,5.79,0.03,4.2791,3000.69,602.0062
28.81,32.72,0.6362,26.51,1.4107,25.13,0.5239,76.75,1.0160,0.49,5.79,0.03,4.2769,3043.24,542.8010
28.81,32.73,0.5742,26.51,0.4372,25.13,0.5610,76.75,-0.1842,0.49,5.79,0.03,4.2813,3074.16,515.5048
28.81,32.72,1.1015,26.50,1.0153,25.13,0.1609,76.75,0.1247,0.48,5.78,0.03,4.2762,3115.40,519.1739
28.81,32.73,-0.8651,26.50,0.3548,25.13,0.0749,76.74,0.5303,0.49,5.79,0.04,4.2842,3140.73,479.6799
28.81,32.74,-0.7121,26.49,-0.9514,25.13,-0.4535,76.74,-0.5406,0.49,5.79,0.03,4.2791,3163.10,254.6841
28.81,32.75,-0.4776,26.47,0.8042,25.13,-0.2769,76.75,-0.5474,0.49,5.79,0.04,4.2549,3185.63,318.9948
28.81,32.75,0.0641,26.48,-0.7360,25.13,-0.1872,76.75,-0.5577,0.48,5.79,0.04,4.2718,3205.50,327.5437
28.81,32.75,-0.9706,26.48,-0.7652,25.13,-0.0078,76.75,0.6050,0.48,5.79,0.03,4.2791,3222.42,395.9335
28.81,32.77,1.2482,26.48,1.1123,25.13,-0.2328,76.75,0.1132,0.47,5.79,0.03,4.2813,3241.13,207.9983
28.81,32.77,-1.3944,26.47,-0.1658,25.14,-0.0003,76.74,-0.2374,0.48,5.79,0.03,4.2762,3258.26,221.7892
28.81,32.77,0.8586,26.46,0.9953,25.14,0.7119,76.75,0.4347,0.48,5.79,0.04,4.2755,3274.34,269.0198
28.81,32.77,1.5550,26.46,1.4958,25.15,0.4446,76.74,0.4766,0.48,5.79,0.05,4.2601,3288.45,263.5501
28.81,32.78,0.1508,26.46,-0.3726,25.14,-0.1346,76.74,-0.4163,0.49,5.79,0.04,4.2696,3300.84,139.1398
28.81,32.78,1.0460,26.45,1.2432,25.15,1.0008,76.74,0.5884,0.48,5.80,0.04,4.2718,3315.58,175.6531
28.81,32.79,0.3165,26.45,0.2517,25.15,0.0578,76.75,-0.0038,0.48,5.79,0.04,4.2711,3327.47,167.2104
28.81,32.80,0.0563,26.45,0.9083,25.15,-0.0416,76.75,-0.0171,0.48,5.79,0.04,4.2747,3346.29,127.7866
28.81,32.80,-0.8449,26.44,-0.9440,25.15,0.3099,76.75,0.1878,0.48,5.79,0.04,4.2491,3356.50,117.4352
28.81,32.80,0.5241,26.44,-0.0540,25.15,-0.0511,76.74,-0.0459,0.49,5.79,0.03,4.2784,3366.08,155.0890
28.81,32.79,-1.7226,26.43,-1.1107,25.15,-0.5526,76.74,0.0474,0.48,5.79,0.03,4.2791,3374.83,169.1419
