tos1a
openloop
10
50
2016-03-27 16:32:57
"c_fan","c_led","c_lamp","t_sim","s_rate"
20,0,50,10,50
"temp_chip","f_temp_int","d_temp_int","f_temp_ext","d_temp_ext","f_light_int_lin","d_light_int_lin","f_light_int_log","d_light_int_log","I_bulb","V_bulb","I_fan","V_fan","f_rpm","d_rmp"
===
28.25,30.58,0.0000,27.70,0.0000,0.00,0.0000,0.61,0.0000,0.01,0.00,0.00,0.0000,0.00,0.0000
28.25,30.64,0.2557,27.70,0.4951,24.33,2.8271,54.06,466.5636,0.49,5.77,0.08,7.6652,581.57,7069.6258
28.25,30.67,-0.6163,27.69,-0.9428,24.48,1.7108,70.87,127.1024,0.49,5.78,0.06,6.1473,1120.06,7295.1808
28.25,30.68,0.9170,27.69,0.3716,24.57,0.6898,75.45,35.6072,0.49,5.78,0.06,5.3377,1540.43,6373.2891
28.25,30.70,1.2453,27.67,-0.1470,24.61,0.8614,76.71,10.0505,0.50,5.78,0.05,4.9026,1852.15,5271.3525
28.25,30.72,-0.2757,27.67,-0.9654,24.64,-0.2280,77.06,2.4862,0.49,5.78,0.05,4.6059,2102.27,2756.8768
28.25,30.73,1.1540,27.67,0.2017,24.65,0.4056,77.16,1.0769,0.50,5.78,0.05,4.4872,2285.46,2306.0660
28.25,30.75,1.2547,27.67,0.7110,24.65,0.7078,77.19,0.3602,0.49,5.78,0.04,4.4088,2418.55,1957.6417
28.25,30.76,-0.5876,27.66,1.0636,24.66,-0.0118,77.20,0.4053,0.49,5.78,0.04,4.3597,2521.12,1766.5273
28.25,30.78,1.0741,27.66,-0.0722,24.66,0.2058,77.20,-0.0640,0.49,5.78,0.04,4.3297,2604.61,927.7342
28.25,30.79,-1.4693,27.65,-1.4825,24.66,-0.0996,77.20,-0.1781,0.48,5.78,0.04,4.3070,2678.05,869.3103
28.25,30.80,0.7065,27.65,1.2940,24.67,0.2509,77.20,0.7308,0.49,5.78,0.03,4.3018,2739.10,873.3833
28.25,30.81,1.3800,27.65,0.7917,24.67,0.7047,77.21,0.3982,0.49,5.78,0.03,4.2916,2789.36,928.5680
28.25,30.82,-0.9807,27.64,-0.8880,24.67,-0.2717,77.20,0.3891,0.49,5.78,0.03,4.2733,2832.71,492.9027
28.25,30.83,-0.3405,27.64,-0.6185,24.67,0.0976,77.20,-0.4161,0.49,5.78,0.04,4.2762,2879.65,517.1565
28.31,30.83,0.5626,27.64,0.9960,24.67,0.0612,77.20,-0.3618,0.49,5.78,0.04,4.2857,2920.55,565.8287
28.31,30.84,-0.6870,27.64,-0.6362,24.67,0.2281,77.20,0.6376,0.49,5.78,0.04,4.2791,2956.76,606.9780
28.31,30.84,0.0520,27.63,-0.2202,24.67,0.0076,77.21,0.0266,0.48,5.78,0.03,4.2857,2988.47,672.1532
28.25,30.84,-1.2250,27.62,-1.2436,24.67,-0.5646,77.20,-0.8375,0.50,5.78,0.03,4.2777,3019.46,360.4167
28.25,30.85,-0.0467,27.63,-0.5532,24.68,-0.1218,77.20,-0.1128,0.49,5.78,0.03,4.2835,3048.72,374.9831
28.25,30.85,0.8068,27.62,0.7919,24.67,-0.0040,77.20,-0.3938,0.48,5.78,0.03,4.2799,3077.73,519.0310
28.25,30.85,0.9477,27.62,0.1700,24.68,0.1338,77.20,-0.2406,0.48,5.78,0.04,4.2711,3105.30,459.7698
28.25,30.85,1.2188,27.61,0.3696,24.68,0.5868,77.20,-0.0585,0.49,5.78,0.03,4.2777,3126.64,245.2451
28.25,30.86,0.0338,27.61,-1.1549,24.68,-0.2955,77.20,0.0216,0.49,5.78,0.04,4.2674,3150.41,272.6794
28.25,30.86,0.5895,27.61,0.3543,24.68,0.6698,77.20,-0.0312,0.50,5.78,0.05,4.2615,3172.04,314.6969
28.25,30.85,0.0784,27.60,0.2237,24.68,0.5187,77.20,-0.1379,0.50,5.78,0.04,4.2777,3190.22,337.3032
28.25,30.85,1.6652,27.59,1.4887,24.68,0.3120,77.20,-0.1810,0.49,5.78,0.03,4.2835,3205.69,181.7974
28.25,30.85,-0.7240,27.59,0.0725,24.68,-0.0885,77.20,0.2852,0.49,5.79,0.03,4.2799,3225.04,222.6439
28.25,30.85,-0.7994,27.59,-0.7401,24.68,-0.0068,77.20,-0.3333,0.50,5.78,0.03,4.2821,3241.49,224.6252
28.25,30.85,-1.3722,27.58,-0.8874,24.69,0.1944,77.20,-0.4330,0.49,5.73,0.03,4.2799,3256.53,278.0503
28.25,30.85,-0.1803,27.58,-0.7559,24.69,-0.1795,77.20,-0.2014,0.49,5.78,0.03,4.2821,3270.29,266.4012
28.25,30.85,-0.0344,27.58,-0.5754,24.69,-0.2992,77.20,-0.6438,0.49,5.79,0.03,4.2791,3282.73,141.3503
28.25,30.84,-1.1067,27.58,-0.9775,24.69,0.1695,77.20,0.3905,0.49,5.78,0.03,4.2842,3296.34,178.1367
28.25,30.84,0.0490,27.57,1.0733,24.69,0.4203,77.20,0.5726,0.50,5.78,0.04,4.2696,3307.83,165.1763
28.25,30.84,0.2142,27.57,2.0447,24.69,-0.0184,77.20,0.5402,0.48,5.78,0.04,4.2784,3318.14,209.5093
28.25,30.84,0.6779,27.56,0.7530,24.69,-0.1459,77.20,-0.6770,0.48,5.78,0.05,4.2637,3328.57,179.2003
28.25,30.84,-0.2246,27.56,-0.1313,24.70,0.0416,77.20,-0.8295,0.48,5.78,0.03,4.2769,3337.08,93.6143
28.25,30.83,-1.6740,27.56,-1.0193,24.70,-0.3750,77.20,-0.6940,0.48,5.78,0.04,4.2718,3347.42,130.2966
28.25,30.83,-0.1820,27.56,0.8667,24.70,0.2496,77.20,0.6729,0.49,5.79,0.03,4.2821,3355.39,107.4483
28.25,30.83,1.2325,27.55,1.8316,24.70,0.4969,77.20,0.4329,0.48,5.78,0.03,4.2681,3362.22,145.1280
28.25,30.82,1.1452,27.55,-0.1465,24.71,0.1552,77.20,-0.2303,0.49,5.78,0.03,4.2689,3368.92,77.7733
28.25,30.82,0.1346,27.55,0.3395,24.70,0.3627,77.20,0.4606,0.49,5.79,0.03,4.2821,3376.37,85.9436
28.25,30.82,1.2068,27.54,1.5410,24.70,0.3649,77.20,0.1111,0.50,5.78,0.03,4.2784,3381.51,34.6789
28.25,30.81,0.2873,27.54,0.8310,24.71,0.2343,77.20,0.3058,0.49,5.78,0.03,4.2806,3392.42,114.8232
28.25,30.81,0.4637,27.54,-0.6180,24.70,-0.4775,77.20,0.1158,0.49,5.78,0.04,4.2740,3398.42,63.0834
28.25,30.81,-0.7511,27.54,0.2421,24.70,-0.1849,77.19,0.5430,0.49,5.79,0.03,4.2806,3402.77,75.4673
28.25,30.80,0.5939,27.53,0.7449,24.70,0.6289,77.19,0.0105,0.49,5.78,0.04,4.2696,3406.23,21.3895
28.25,30.79,-0.5696,27.52,-1.6189,24.70,0.0057,77.19,0.2991,0.49,5.78,0.05,4.2630,3408.72,163.1881
28.25,30.79,-0.3847,27.52,0.3355,24.70,-0.1191,77.19,0.0325,0.49,5.78,0.05,4.2630,3416.55,84.3515
28.25,30.79,-1.1953,27.53,-1.3297,24.71,-0.5093,77.19,0.0043,0.49,5.78,0.04,4.2762,3419.99,38.6469
