tos1a
openloop
10
200
2016-03-20 19:20:18
"c_fan","c_lamp","c_led","t_sim","s_rate"
"20","60","0","10","200"
"temp_chip","f_temp_int","d_temp_int","f_temp_ext","d_temp_ext","f_light_int_lin","d_light_int_lin","f_light_int_log","d_light_int_log","I_bulb","V_bulb","I_fan","V_fan","f_rpm","d_rmp"
===
26.50,28.76,0.0000,26.66,0.0000,0.00,0.0000,2.93,0.0000,0.11,0.00,0.00,0.0000,0.00,4.7630
26.50,28.88,0.2675,26.71,-0.1371,32.27,0.7616,55.13,125.2138,0.66,6.95,0.05,5.1077,1254.72,4633.3632
26.50,28.97,0.4824,26.68,0.4688,32.41,0.5901,72.10,40.1216,0.66,6.96,0.05,4.3861,2092.59,2614.5063
26.56,29.05,0.1128,26.64,-0.3379,32.47,0.1291,77.57,12.7220,0.66,6.95,0.03,4.3018,2525.09,1429.8689
26.56,29.12,0.2460,26.61,-0.1006,32.50,0.0765,79.30,3.8935,0.67,6.95,0.04,4.2762,2767.05,935.4881
26.56,29.19,0.1774,26.59,0.0369,32.52,0.1948,79.85,1.4867,0.67,6.96,0.05,4.2608,2924.56,548.8513
26.50,29.25,0.1283,26.56,-0.2533,32.54,-0.0014,80.02,0.5231,0.66,6.97,0.04,4.2784,3035.56,398.2777
26.56,29.30,0.0725,26.53,-0.3273,32.55,0.0834,80.08,0.2474,0.66,6.96,0.04,4.2696,3120.87,311.8291
26.56,29.35,0.1743,26.50,0.0007,32.56,0.1572,80.10,0.1610,0.66,6.96,0.05,4.2593,3184.35,330.1686
26.50,29.39,0.0383,26.47,-0.4344,32.57,-0.0785,80.10,-0.2254,0.66,6.96,0.03,4.2806,3239.79,194.6370
26.56,29.43,0.0836,26.44,-0.1950,32.58,-0.0291,80.11,0.1303,0.67,6.96,0.03,4.2769,3277.48,118.3848
26.50,29.47,0.1036,26.41,-0.3495,32.59,-0.0339,80.11,-0.1144,0.66,6.96,0.04,4.2681,3309.53,149.3109
26.50,29.50,0.1481,26.38,-0.2950,32.60,-0.0214,80.11,-0.0949,0.66,6.96,0.04,4.2901,3332.66,66.5495
26.56,29.54,-0.2018,26.35,-0.2950,32.61,0.0657,80.11,0.0571,0.66,6.96,0.04,4.2696,3349.73,38.5514
26.56,29.57,0.3118,26.32,0.2626,32.62,0.0984,80.10,0.0891,0.66,6.96,0.03,4.2813,3366.14,75.0381
26.50,29.61,-0.0850,26.29,-0.5042,32.62,-0.0272,80.10,-0.0813,0.66,6.96,0.03,4.2777,3376.68,14.3589
26.50,29.63,0.0313,26.26,-0.3897,32.63,-0.0758,80.10,0.0497,0.66,6.96,0.03,4.2762,3386.90,43.6281
