tos1a
openloop
2
50
2016-03-30 06:22:37
"c_fan","c_led","c_lamp","t_sim","s_rate"
0,50,0,2,50
"temp_chip","f_temp_int","d_temp_int","f_temp_ext","d_temp_ext","f_light_int_lin","d_light_int_lin","f_light_int_log","d_light_int_log","I_bulb","V_bulb","I_fan","V_fan","f_rpm","d_rmp"
===
24.38,24.75,0.2239,24.37,0.2853,0.19,8.0388,18.79,620.1879,0.00,0.00,0.00,0.0000,0.19,3.6450
24.38,24.75,0.4254,24.38,0.0782,0.07,-1.3479,7.55,-151.8199,0.00,0.00,0.00,0.0000,0.27,-2.7464
24.38,24.76,0.2431,24.38,-0.1006,0.02,-0.3650,2.06,-40.8946,0.00,0.00,0.00,0.0000,0.14,-1.4316
24.38,24.76,0.3267,24.39,0.3372,0.01,-0.1051,0.61,-11.6176,0.00,0.00,0.00,0.0000,0.08,-0.7696
24.31,24.76,0.2952,24.39,0.0714,0.00,-0.0290,0.18,-3.5292,-0.00,0.00,0.00,0.0000,0.04,-0.4047
24.31,24.76,0.0682,24.39,0.1736,0.00,-0.0082,0.07,-0.6941,0.00,0.00,0.00,0.0000,0.02,-0.2158
24.31,24.76,-0.1695,24.39,-0.0196,0.00,-0.0023,0.03,-0.3023,-0.00,0.00,0.00,0.0000,0.01,-0.1146
24.31,24.76,0.2445,24.38,0.4055,0.00,-0.0007,0.02,0.0395,-0.00,0.00,0.00,0.0000,0.01,-0.0613
24.31,24.76,-0.2338,24.38,0.0358,0.00,-0.0002,0.02,-0.0105,0.00,0.00,0.00,0.0000,0.00,-0.0324
24.31,24.76,-0.1382,24.38,0.2613,0.00,-0.0000,0.02,0.0052,0.00,0.00,0.00,0.0000,0.00,-0.0169
24.38,24.76,0.1022,24.39,-0.3778,0.00,-0.0000,0.02,0.0076,0.00,0.00,0.00,0.0000,0.00,-0.0090
24.38,24.76,0.2001,24.39,0.0762,0.00,-0.0000,0.02,-0.1044,0.01,0.00,0.00,0.0000,0.00,-0.0048
24.38,24.76,0.0125,24.39,-0.0522,0.00,-0.0000,0.02,0.0801,0.01,0.00,0.00,0.0000,0.00,-0.0026
24.38,24.76,0.0273,24.39,-0.0798,0.00,-0.0000,0.02,-0.0141,0.00,0.00,0.00,0.0000,0.00,-0.0014
24.38,24.76,0.0467,24.39,-0.0570,0.00,-0.0000,0.02,-0.0022,-0.00,0.00,0.00,0.0000,0.00,-0.0007
24.38,24.76,0.0589,24.39,-0.0268,0.00,-0.0000,0.02,0.2166,0.00,0.00,0.00,0.0000,0.00,-0.0004
24.31,24.76,-0.1681,24.39,0.0848,0.00,-0.0000,0.02,0.0838,-0.01,0.00,0.00,0.0000,0.00,-0.0002
24.31,24.76,0.0767,24.39,-0.1655,0.00,-0.0000,0.02,0.1695,0.00,0.00,0.00,0.0000,0.00,-0.0001
24.31,24.76,-0.0399,24.39,0.0769,0.00,-0.0000,0.02,0.1302,-0.00,0.00,0.00,0.0000,0.00,-0.0001
24.31,24.76,0.0933,24.39,0.0898,0.00,-0.0000,0.02,-0.1222,-0.00,0.00,0.00,0.0000,0.00,-0.0000
24.31,24.76,-0.0671,24.39,-0.1957,0.00,-0.0000,0.02,0.0376,0.01,0.00,0.00,0.0000,0.00,-0.0000
24.31,24.76,0.0385,24.39,0.0601,0.00,-0.0000,0.02,-0.0573,0.00,0.00,0.00,0.0000,0.00,-0.0000
24.31,24.76,0.0263,24.39,0.0504,0.00,-0.0000,0.02,-0.0534,0.00,0.00,0.00,0.0000,0.00,-0.0000
24.31,24.76,0.1394,24.39,0.0339,0.00,-0.0000,0.02,-0.1567,0.00,0.00,0.00,0.0000,0.00,-0.0000
24.31,24.76,-0.3100,24.39,-0.0546,0.00,-0.0000,0.02,-0.1177,0.01,0.00,0.00,0.0000,0.00,-0.0000
24.38,24.76,0.2346,24.39,-0.2565,0.00,-0.0000,0.02,-0.0764,0.00,0.00,0.00,0.0000,0.00,-0.0000
