tos1a
openloop
10
50
2016-03-22 20:07:23
"c_fan","c_led","c_lamp","t_sim","s_rate"
20,0,50,10,50
"temp_chip","f_temp_int","d_temp_int","f_temp_ext","d_temp_ext","f_light_int_lin","d_light_int_lin","f_light_int_log","d_light_int_log","I_bulb","V_bulb","I_fan","V_fan","f_rpm","d_rmp"
===
28.00,29.28,0.0000,27.86,0.0000,0.00,0.0000,7.07,0.0000,0.02,0.00,0.00,0.0000,0.00,0.0000
28.00,29.29,1.3724,27.68,2.2859,24.73,2.1925,56.24,428.7992,0.50,5.79,0.08,7.6608,581.32,7131.5759
28.00,29.36,1.0437,27.78,-0.2112,24.87,1.9067,71.44,121.6299,0.50,5.79,0.06,6.2322,1098.56,7366.3014
28.00,29.39,1.7960,27.79,0.6824,24.96,1.4092,75.80,34.3246,0.50,5.79,0.05,5.3780,1514.05,6600.3020
28.00,29.42,-0.0129,27.80,-0.1273,25.00,0.5520,77.02,10.1105,0.50,5.80,0.05,4.9194,1831.70,5458.2935
28.00,29.44,-1.0564,27.79,-1.3807,25.03,0.9882,77.37,2.3856,0.49,5.80,0.04,4.6571,2087.62,2883.7094
27.94,29.46,-0.0339,27.78,-1.5892,25.04,0.1276,77.47,0.8773,0.49,5.80,0.04,4.5033,2270.87,2311.7743
27.94,29.47,0.2466,27.77,0.4037,25.05,-0.0122,77.49,0.9654,0.50,5.80,0.04,4.4176,2405.49,1957.8439
27.94,29.49,0.6848,27.77,0.4616,25.06,0.7443,77.50,0.4062,0.49,5.80,0.04,4.3568,2504.07,1682.7637
28.00,29.51,0.6890,27.76,-0.9766,25.06,-0.1265,77.50,-0.3036,0.49,5.80,0.04,4.3311,2583.91,879.8942
28.00,29.52,0.1933,27.75,-0.3491,25.07,0.3661,77.51,0.7236,0.50,5.80,0.04,4.3121,2657.85,898.2936
28.00,29.54,-0.0796,27.75,-0.7173,25.07,-0.1028,77.51,0.2320,0.50,5.80,0.05,4.2938,2715.95,854.6401
