tos1a
openloop
20
50
2016-03-30 06:29:06
"c_fan","c_led","c_lamp","t_sim","s_rate"
30,50,0,20,50
"temp_chip","f_temp_int","d_temp_int","f_temp_ext","d_temp_ext","f_light_int_lin","d_light_int_lin","f_light_int_log","d_light_int_log","I_bulb","V_bulb","I_fan","V_fan","f_rpm","d_rmp"
===
25.00,25.31,0.0000,24.87,0.0000,0.00,0.0000,0.06,0.0000,0.11,0.00,0.00,0.0000,0.01,17.4876
25.00,25.28,0.9673,24.93,1.5225,0.00,0.0000,0.08,-0.5652,0.11,0.00,0.09,8.0755,581.68,7127.8540
25.00,25.31,0.4941,24.94,-1.3490,0.00,0.0000,0.07,0.2124,0.11,0.00,0.07,6.7949,1111.05,7533.8506
25.00,25.32,0.2717,24.95,1.0425,0.00,0.0000,0.06,-0.3961,0.11,0.00,0.07,6.1004,1543.82,6789.6970
25.00,25.32,-0.8555,24.94,-1.0314,0.00,0.0000,0.06,-0.2689,0.12,0.00,0.06,5.7026,1874.85,5904.3015
25.00,25.32,0.1176,24.94,-0.3226,0.00,0.0000,0.06,-0.1845,0.12,0.00,0.04,5.4835,2152.55,3113.9103
25.00,25.31,-0.8771,24.94,-0.8820,0.00,0.0000,0.06,0.1346,0.11,0.00,0.05,5.3619,2367.24,2950.5831
25.00,25.31,-1.0173,24.94,-1.1365,0.00,0.0000,0.06,0.0806,0.11,0.00,0.05,5.2842,2538.64,2642.7879
25.00,25.30,-0.0642,24.93,-0.7017,0.00,0.0000,0.06,0.4224,0.11,0.00,0.05,5.2418,2671.08,2549.0086
25.00,25.30,-0.1982,24.93,-0.2160,0.00,0.0000,0.06,0.0513,0.11,0.00,0.05,5.2190,2788.59,1368.8842
25.00,25.29,0.2883,24.93,-0.1480,0.00,0.0000,0.06,-0.3659,0.11,0.00,0.04,5.2022,2896.39,1371.3179
24.94,25.29,0.7821,24.93,0.5958,0.00,0.0000,0.06,0.3262,0.12,0.00,0.05,5.1919,2988.41,1384.0327
24.94,25.28,0.8211,24.93,2.3955,0.00,0.0000,0.06,-0.2527,0.12,0.00,0.05,5.1861,3071.71,1541.7612
24.94,25.27,-0.2006,24.92,-1.1415,0.00,0.0000,0.06,0.2891,0.12,0.00,0.05,5.1780,3144.28,812.3841
25.00,25.27,-0.0597,24.92,-0.2084,0.00,0.0000,0.06,-0.0927,0.11,0.00,0.04,5.1839,3218.78,752.8567
25.00,25.26,0.3634,24.92,0.6142,0.00,0.0000,0.07,-0.0386,0.11,0.00,0.05,5.1758,3285.11,922.1728
