tos1a
openloop
10
50
2016-03-25 10:40:34
"c_fan","c_led","c_lamp","t_sim","s_rate"
60,0,50,10,50
"temp_chip","f_temp_int","d_temp_int","f_temp_ext","d_temp_ext","f_light_int_lin","d_light_int_lin","f_light_int_log","d_light_int_log","I_bulb","V_bulb","I_fan","V_fan","f_rpm","d_rmp"
===
25.81,27.51,0.0000,24.79,0.0000,0.00,0.0000,0.65,0.0000,0.11,0.00,0.00,0.0000,0.50,1068.4804
25.88,27.57,0.8647,24.85,0.3017,14.38,108.0989,52.80,482.9452,0.61,5.77,0.09,7.7231,746.67,7779.0600
25.88,27.57,1.7360,24.85,1.6323,20.07,67.0400,70.67,149.6155,0.59,5.78,0.09,7.7795,957.56,1195.9248
25.88,27.59,0.8140,24.85,-1.1866,22.90,27.3618,76.14,44.3520,0.60,5.78,0.09,7.8147,1106.01,3945.2794
25.88,27.61,-0.8406,24.84,-1.1501,23.97,9.4174,77.78,13.6678,0.60,5.78,0.09,7.8293,1294.35,6113.5120
25.88,27.63,-1.1642,24.85,-1.8596,24.33,2.5570,78.26,3.3027,0.60,5.78,0.08,7.8447,1581.22,3228.8262
25.88,27.65,0.3945,24.84,1.5668,24.45,1.2762,78.40,1.1023,0.59,5.79,0.08,7.8535,1872.89,4232.0509
25.88,27.69,-0.7355,24.84,-1.2420,24.49,0.1844,78.44,0.3909,0.60,5.78,0.08,7.8593,2143.60,5056.9053
25.88,27.71,-1.2121,24.85,-1.5823,24.50,0.1195,78.45,-0.0773,0.60,5.78,0.06,7.8821,2394.44,5748.5142
25.88,27.74,0.3066,24.84,0.1093,24.51,-0.2327,78.45,0.6348,0.59,5.79,0.10,7.8454,2667.46,3002.7015
25.88,27.75,-0.1302,24.84,-0.3105,24.52,-0.3457,78.45,-0.5530,0.59,5.78,0.07,7.8733,2920.85,3315.6404
25.88,27.77,1.2030,24.84,0.0957,24.52,0.0240,78.45,-0.4336,0.60,5.79,0.08,7.8637,3151.59,3665.1512
25.88,27.79,0.9465,24.84,-0.9187,24.52,0.1856,78.46,-0.6343,0.59,5.78,0.08,7.8696,3357.31,3931.6980
25.88,27.81,1.0371,24.83,0.6912,24.53,0.5036,78.46,0.1287,0.59,5.78,0.09,7.8564,3561.82,3981.4423
