26.12,26.39,-1.0566,26.05,-0.4195,0.00,0.0000,0.09,-0.3059,-0.01,0.00,0.00,0.0000,0.00,0.0000 
26.12,26.39,-1.0566,26.05,-0.4195,0.00,0.0000,0.09,-0.3059,-0.01,0.00,0.00,0.0000,0.00,0.0000 
26.12,26.39,0.1010,26.05,0.0483,0.00,0.0000,0.10,0.6437,0.00,0.00,0.00,0.0000,0.00,0.0000 
26.06,26.38,-0.1597,26.06,0.0974,0.00,0.0000,0.09,-0.6732,-0.01,0.00,0.00,0.0000,0.00,0.0000 
26.06,26.37,-0.0012,26.06,1.2642,0.00,0.0000,0.09,-0.5385,-0.01,0.00,0.00,0.0000,0.00,0.0000 
26.06,26.37,0.1287,26.06,-0.6019,0.00,0.0000,0.09,0.4862,-0.01,0.00,0.00,0.0000,0.00,0.0000 
26.06,26.37,-0.0143,26.06,-0.6285,0.00,0.0000,0.09,0.1761,-0.01,0.00,0.00,0.0000,0.00,0.0000 
26.06,26.37,-0.3452,26.06,-0.0201,0.00,0.0000,0.09,0.0265,0.00,0.00,0.00,0.0000,0.00,0.0000 
26.06,26.37,0.4982,26.06,1.3361,1.17,19.5087,47.64,318.9148,0.27,2.32,0.00,0.0000,0.00,0.0000 
26.06,26.41,-0.4096,26.06,-0.4044,8.21,17.2656,74.87,26.3645,0.34,3.50,0.00,0.0000,0.00,0.0000 
26.12,26.48,0.3711,26.05,-0.8136,14.91,10.9263,80.09,7.0058,0.41,4.67,0.00,0.0000,0.00,0.0000 
26.00,26.58,0.0607,26.06,-1.2326,21.48,8.1511,83.04,4.1642,0.48,5.79,0.00,0.0000,0.00,0.0000 
26.06,26.70,1.4069,26.06,0.3465,26.57,5.4690,84.76,1.6324,0.53,6.60,0.00,0.0000,0.00,0.0000 
26.12,26.84,0.7834,26.05,-0.3146,30.84,4.5205,85.97,1.3662,0.57,7.28,0.00,0.0000,0.00,0.0000 
26.00,26.98,0.3567,26.05,-0.1695,34.16,4.9991,86.80,1.3840,0.60,7.79,0.00,0.0000,0.00,0.0000 
